일,캠페인 이름,광고 세트 이름,광고 이름,게재 상태,게재 수준,광고 세트 이름,기여 설정,결과 유형,결과,도달,노출,링크 클릭,지출 금액 (KRW),ThruPlay,결과당 비용,품질 순위,참여율 순위,전환율 순위,웹사이트 구매,웹사이트 문의,보고 시작,보고 종료
2026-05-30,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규3_260323_이미지교체,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,488,537,3,4315,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,939,939,1103,,986,6,1050.05,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-1_ieltsacdemy_trf_260326 (수도권),i-trf-freeleveltest-260326,active,ad,02-1_ieltsacdemy_trf_260326 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,3,3,,2,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-1_ieltsacdemy_trf_260326 (수도권),i-trf-freeleveltest-260326,active,ad,02-1_ieltsacdemy_trf_260326 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,3,173,179,2,526,,175.33,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_ielts_instructor_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,3,3,,32,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_ielts_instructor_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,5,5,,54,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_ieltsfirst_book_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,0,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_ieltsfirst_book_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,6,8,,249,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,1,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,6,6,6,,5,,833.33,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,587,587,705,,656,6,1117.55,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ielts_instructor_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,7,7,7,,5,,714.29,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_ieltstiming_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,7,7,,77,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_track_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,1,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,2,2,,16,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,340,340,378,3,308,,905.88,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,717,717,754,1,563,,785.22,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_satisfaction93.4_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,22,22,,277,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_satisfaction93.4_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,12,12,,192,1,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_satisfaction93.4_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,2,2,2,,2,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltstiming_timer_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,117,117,120,,95,,811.97,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltstiming_timer_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,13,13,13,,11,,846.15,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,54,60,,1217,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-7_ieltsacdemy_cv_260522 (수도권),i_cv_beforevacation_track_260522,active,ad,03-7_ieltsacdemy_cv_260522 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,188,211,3,1930,,,-,-,-,1,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,1,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-6_ieltsacdemy_trf_260522 (수도권),i_trf_beforevacation_track_260522,active,ad,02-6_ieltsacdemy_trf_260522 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,1,7,7,1,41,,41,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_junestart_benefits_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,3,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_ielts_highscore_strategy_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,19,20,,78,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_calendar_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,4,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_ieltsstart_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,1,1,,0,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_ieltsstart_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,142,148,,427,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_ieltsstart_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,25,1392,1589,26,5474,,218.96,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_shortterm_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,13,13,,139,3,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_track_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,80,80,81,,82,,1025,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1,1,1,,1,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_ieltsstart_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,1,1,,2,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_finish_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,6,6,6,,6,,1000,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,20,22,,182,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,10,840,974,12,2918,,291.8,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_ieltstiming_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,4,4,,16,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_beforevacation_track_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,291,291,296,1,261,,896.91,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_ieltstiming_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,108,121,1,3351,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,9,9,,52,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,9,9,,357,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,205,250,4,4859,5,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-4_ieltsacdemy_cv_260422 (수도권),v_cv_ielts1.8months_260422,active,ad,03-4_ieltsacdemy_cv_260422 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,1,1029,1214,7,12694,10,12694,-,-,-,1,1,2026-05-30,2026-05-30
2026-05-30,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_ieltstiming_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,333,355,,5002,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,14,14,,134,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,2742,3504,14,40035,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,2,850,1051,8,18657,,9328.5,-,-,-,,2,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_sophiaT_shortterm_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,5,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_sophiaT_shortterm_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,53,53,,565,1,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_sophiaT_shortterm_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,15,15,,358,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,1,1,,2,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_june_ieltsstart_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,52,59,,864,,,-,-,-,,,2026-05-30,2026-05-30
2026-05-30,04_ieltsacademy_월별특강_trf (수도권),04-3_ieltsacademy_6월_trf_260417 (수도권),i_trf_june_freespecial_260417,active,ad,04-3_ieltsacademy_6월_trf_260417 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,1,53,63,1,156,,156,-,-,-,,,2026-05-30,2026-05-30
2026-05-29,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,2,667,733,6,6831,18,3415.5,-,-,-,,2,2026-05-29,2026-05-29
2026-05-29,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_junestart_instructor_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,2,2,,23,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-6_ieltsacdemy_trf_260522 (수도권),i_trf_ieltsfirst_book_260522,active,ad,02-6_ieltsacdemy_trf_260522 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,8,9,,28,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-6_ieltsacdemy_trf_260522 (수도권),i_trf_ieltsfirst_book_260522,active,ad,02-6_ieltsacdemy_trf_260522 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,8,627,710,7,3372,,421.5,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,3,3,,18,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,7,8,,80,1,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,03_ieltsacdemy_cv (수도권),03-5_ieltsacdemy_cv_260515 (수도권),v_cv_danielT_completeness_260515,active,ad,03-5_ieltsacdemy_cv_260515 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,153,184,7,3361,5,,-,-,-,1,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_textbook_event_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,4,4,,10,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_freetextbook_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,5,5,,68,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_freetextbook_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,5,5,,111,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,A_cambridge20_251016,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,0,0,,0,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-5_ieltsacademy_trf_260521 (수도권),i_trf_june_textbook_event_260521,inactive,ad,02-5_ieltsacademy_trf_260521 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,5,211,220,5,1074,,214.8,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltsfirst_book_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,2,2,2,,3,,1500,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,01_ieltsacdemy_aw (수도권),01-4_ieltsacdemy_aw_260522 (수도권),i_aw_ieltsfirst_book_260522,active,ad,01-4_ieltsacdemy_aw_260522 (수도권),클릭 후 7일 또는 조회 후 1일,도달,3,3,3,,3,,1000,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,1006,1006,1228,,1499,7,1490.06,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규2_260122,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,1,1,,2,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,03_ieltsacdemy_cv (수도권),03-6_ieltsacademy_cv_260521 (수도권),i_cv_ielts_highscore_strategy_260521,inactive,ad,03-6_ieltsacademy_cv_260521 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,1,1,,12,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-1_ieltsacdemy_trf_260326 (수도권),i-trf-freeleveltest-260326,active,ad,02-1_ieltsacdemy_trf_260326 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,1,11,11,2,65,,65,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,01_ieltsacdemy_aw (수도권),01-3_ieltsacdemy_aw_260422 (수도권),v_aw_ielts1.8months_260422,active,ad,01-3_ieltsacdemy_aw_260422 (수도권),클릭 후 7일 또는 조회 후 1일,도달,642,642,741,,924,,1439.25,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규3_260323_이미지교체,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,443,504,3,5020,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,06_ieltsacademy_교재이벤트_cv (수도권),06-5_ieltsacademy_cv_260526 (수도권),i_cv_june_ieltstiming_260526,not_delivering,ad,06-5_ieltsacademy_cv_260526 (수도권),"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 문의,,4,4,,118,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-3_ieltsacdemy_trf_260422 (수도권),v_trf_satisfaction93.4_260422,active,ad,02-3_ieltsacdemy_trf_260422 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,1,1,,2,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-3_ieltsacdemy_trf_260422 (수도권),v_trf_satisfaction93.4_260422,active,ad,02-3_ieltsacdemy_trf_260422 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,,14,14,,98,1,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,02_ieltsacdemy_trf (수도권),02-3_ieltsacdemy_trf_260422 (수도권),v_trf_satisfaction93.4_260422,active,ad,02-3_ieltsacdemy_trf_260422 (수도권),클릭 후 7일 또는 조회 후 1일,랜딩 페이지 조회,2,157,181,2,1316,2,658,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규3_260323_이미지교체,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,1,1,,4,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규3_260323_이미지교체,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,1,1,,1,,,-,-,-,,,2026-05-29,2026-05-29
2026-05-29,[어학원] NEW_전환캠페인_구매,전환(구매)_연령+관심사(유학+IELTS)_01,학원_신규3_260323_이미지교체,not_delivering,ad,전환(구매)_연령+관심사(유학+IELTS)_01,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",웹사이트 구매,,17,18,,63,,,-,-,-,,,2026-05-29,2026-05-29
